(fail) 3-tier queue fallback > startQueue and stopQueue are no-ops when not in pg-boss mode [0.16ms]
(fail) AI Fabric Cost Optimizer — Phase 2 > should calculate savings correctly (70 cache, 30 AI) [0.76ms]
(fail) AI Fabric Cost Optimizer — Phase 2 > should handle zero-cost AI calls (free models) [0.24ms]
(fail) AI Fabric Gateway — Phase 1 > should log every request to AIRequestLog [50.67ms]
(fail) AI Fabric Gateway — Phase 1 > should resolve via cache on second identical call [0.48ms]
(fail) AI Fabric Gateway — Phase 1 > should store and retrieve AI memory [0.29ms]
(fail) AI Fabric Provider Optimizer — Phase 3 > should seed provider configs without error [0.29ms]
(fail) AI Fabric: Budget Engine (Phase 6) > checkBudgetGate should return false when hard stop enabled and at limit [0.01ms]
(fail) AI Fabric: Budget Engine (Phase 6) > should create BudgetConfig if it does not exist [0.01ms]
(fail) AI Fabric: Budget Engine (Phase 6) > should create notification when spend crosses alert threshold [0.02ms]
(fail) AI Fabric: Budget Engine (Phase 6) > should ignore zero or negative spend [0.01ms]
(fail) AI Fabric: Budget Engine (Phase 6) > should increment currentSpendUsd on each recordSpend call [0.03ms]
(fail) AI Fabric: Budget Engine (Phase 6) > should not create duplicate alerts in same month [0.01ms]
(fail) AI Fabric: Scheduler (Phase 5) > (unnamed) [0.03ms]
(fail) AI Fabric: Scheduler (Phase 5) > borrowed slots should not exceed busy company's tier ceiling [0.01ms]
(fail) AI Fabric: Scheduler (Phase 5) > each company should get base allocation equal to workerPoolSize [0.04ms]
(fail) AI Fabric: Scheduler (Phase 5) > idle company's slots should be distributed to busy companies [0.01ms]
(fail) AI Fabric: Scheduler (Phase 5) > previously idle company should reclaim slots when it becomes active [0.02ms]
(fail) AI Fabric: Scheduler (Phase 5) > should deny slot when at capacity (running jobs = allocation) [0.01ms]
(fail) AI Fabric: Scheduler (Phase 5) > should grant slot when under allocation [0.01ms]
(fail) AI Fabric: Scheduler (Phase 5) > should pick the company with highest queue depth [0.01ms]
(fail) AI Fabric: Scheduler (Phase 5) > should return null when no company needs capacity [0.01ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > (unnamed) [0.06ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > TIER_WORKER_LIMITS should have correct values [0.39ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > enterprise plan should default to 64 workers [0.01ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > planToTier maps plan strings correctly [0.02ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should NOT scale up when system resources > 80% [0.01ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should create a new runtime with tier default pool size [0.02ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should not scale below 1 worker [0.02ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should not scale beyond tier ceiling [0.04ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should return existing runtime without changing pool size [0.01ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should return worker counts for all active runtimes [0.02ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should scale down gradually when queue is empty for sustained period [0.01ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should scale up when queue exceeds 200 for sustained period [0.01ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > trial plan should cap at 1 worker [0.02ms]
(fail) API route isolation > API with empty string companySlug treated as no filter [0.06ms]
(fail) API route isolation > API with null companySlug and restricted user returns intersection [0.07ms]
(fail) API route isolation > forbidden scope should block the request [0.07ms]
(fail) Deep: cache-hit-analysis / scale-10 > cache-hit-analysis scale-10 generates valid data [0.18ms]
(fail) Deep: cache-hit-analysis / scale-10 > cache-hit-analysis scale-10 has valid invoices [0.08ms]
(fail) Deep: cache-hit-analysis / scale-10 > cache-hit-analysis scale-10 has valid products [0.11ms]
(fail) Deep: category-generation / rate-limit > category-generation rate-limit generates valid data [0.22ms]
(fail) Deep: category-generation / rate-limit > category-generation rate-limit has valid invoices [0.08ms]
(fail) Deep: category-generation / rate-limit > category-generation rate-limit has valid products [0.11ms]
(fail) Deep: client-generation / deterministic > client-generation deterministic generates valid data [0.16ms]
(fail) Deep: client-generation / deterministic > client-generation deterministic has valid invoices [0.08ms]
(fail) Deep: client-generation / deterministic > client-generation deterministic has valid products [0.12ms]
(fail) Deep: client-generation / json-serialize > client-generation json-serialize generates valid data [0.17ms]
(fail) Deep: client-generation / json-serialize > client-generation json-serialize has valid invoices [0.08ms]
(fail) Deep: client-generation / json-serialize > client-generation json-serialize has valid products [0.09ms]
(fail) Deep: company-generation / basic > company-generation basic generates valid data [0.18ms]
(fail) Deep: company-generation / basic > company-generation basic has valid invoices [0.07ms]
(fail) Deep: company-generation / basic > company-generation basic has valid products [0.10ms]
(fail) Deep: company-generation / json-deserialize > company-generation json-deserialize generates valid data [0.17ms]
(fail) Deep: company-generation / json-deserialize > company-generation json-deserialize has valid invoices [0.09ms]
(fail) Deep: company-generation / json-deserialize > company-generation json-deserialize has valid products [0.10ms]
(fail) Deep: company-generation / relationship-integrity > company-generation relationship-integrity generates valid data [0.16ms]
(fail) Deep: company-generation / relationship-integrity > company-generation relationship-integrity has valid invoices [0.08ms]
(fail) Deep: company-generation / relationship-integrity > company-generation relationship-integrity has valid products [0.09ms]
(fail) Deep: cost-distribution / edge-empty > cost-distribution edge-empty generates valid data [0.26ms]
(fail) Deep: cost-distribution / edge-empty > cost-distribution edge-empty has valid invoices [0.14ms]
(fail) Deep: cost-distribution / edge-empty > cost-distribution edge-empty has valid products [0.13ms]
(fail) Deep: dashboard-simulation / currency-validation > dashboard-simulation currency-validation generates valid data [0.18ms]
(fail) Deep: dashboard-simulation / currency-validation > dashboard-simulation currency-validation has valid invoices [0.07ms]
(fail) Deep: dashboard-simulation / currency-validation > dashboard-simulation currency-validation has valid products [0.10ms]
(fail) Deep: discount-validation / id-format > discount-validation id-format generates valid data [0.17ms]
(fail) Deep: discount-validation / id-format > discount-validation id-format has valid invoices [0.10ms]
(fail) Deep: discount-validation / id-format > discount-validation id-format has valid products [0.10ms]
(fail) Deep: discount-validation / retry-logic > discount-validation retry-logic generates valid data [0.18ms]
(fail) Deep: discount-validation / retry-logic > discount-validation retry-logic has valid invoices [0.08ms]
(fail) Deep: discount-validation / retry-logic > discount-validation retry-logic has valid products [0.10ms]
(fail) Deep: e2e-journey / edge-max > e2e-journey edge-max generates valid data [0.16ms]
(fail) Deep: e2e-journey / edge-max > e2e-journey edge-max has valid invoices [0.08ms]
(fail) Deep: e2e-journey / edge-max > e2e-journey edge-max has valid products [0.08ms]
(fail) Deep: employee-generation / id-format > employee-generation id-format generates valid data [0.16ms]
(fail) Deep: employee-generation / id-format > employee-generation id-format has valid invoices [0.07ms]
(fail) Deep: employee-generation / id-format > employee-generation id-format has valid products [0.09ms]
(fail) Deep: employee-generation / relationship-integrity > employee-generation relationship-integrity generates valid data [0.17ms]
(fail) Deep: employee-generation / relationship-integrity > employee-generation relationship-integrity has valid invoices [0.07ms]
(fail) Deep: employee-generation / relationship-integrity > employee-generation relationship-integrity has valid products [0.09ms]
(fail) Deep: error-rate-analysis / edge-min > error-rate-analysis edge-min generates valid data [0.17ms]
(fail) Deep: error-rate-analysis / edge-min > error-rate-analysis edge-min has valid invoices [0.08ms]
(fail) Deep: error-rate-analysis / edge-min > error-rate-analysis edge-min has valid products [0.09ms]
(fail) Deep: error-rate-analysis / id-format > error-rate-analysis id-format generates valid data [0.20ms]
(fail) Deep: error-rate-analysis / id-format > error-rate-analysis id-format has valid invoices [0.07ms]
(fail) Deep: error-rate-analysis / id-format > error-rate-analysis id-format has valid products [0.11ms]
(fail) Deep: error-rate-analysis / retry-logic > error-rate-analysis retry-logic generates valid data [0.16ms]
(fail) Deep: error-rate-analysis / retry-logic > error-rate-analysis retry-logic has valid invoices [0.08ms]
(fail) Deep: error-rate-analysis / retry-logic > error-rate-analysis retry-logic has valid products [0.09ms]
(fail) Deep: extraction-simulation / concurrent-safe > extraction-simulation concurrent-safe generates valid data [0.16ms]
(fail) Deep: extraction-simulation / concurrent-safe > extraction-simulation concurrent-safe has valid invoices [0.08ms]
(fail) Deep: extraction-simulation / concurrent-safe > extraction-simulation concurrent-safe has valid products [0.08ms]
(fail) Deep: inventory-generation / cross-tenant > inventory-generation cross-tenant generates valid data [0.18ms]
(fail) Deep: inventory-generation / cross-tenant > inventory-generation cross-tenant has valid invoices [0.08ms]
(fail) Deep: inventory-generation / cross-tenant > inventory-generation cross-tenant has valid products [0.10ms]
(fail) Deep: inventory-generation / duplicate-check > inventory-generation duplicate-check generates valid data [0.18ms]
(fail) Deep: inventory-generation / duplicate-check > inventory-generation duplicate-check has valid invoices [0.08ms]
(fail) Deep: inventory-generation / duplicate-check > inventory-generation duplicate-check has valid products [0.11ms]
(fail) Deep: inventory-generation / error-handling > inventory-generation error-handling generates valid data [0.17ms]
(fail) Deep: inventory-generation / error-handling > inventory-generation error-handling has valid invoices [0.07ms]
(fail) Deep: inventory-generation / error-handling > inventory-generation error-handling has valid products [0.10ms]
(fail) Deep: invoice-generation / date-range > invoice-generation date-range generates valid data [0.16ms]
(fail) Deep: invoice-generation / date-range > invoice-generation date-range has valid invoices [0.07ms]
(fail) Deep: invoice-generation / date-range > invoice-generation date-range has valid products [0.09ms]
(fail) Deep: invoice-generation / retry-logic > invoice-generation retry-logic generates valid data [0.20ms]
(fail) Deep: invoice-generation / retry-logic > invoice-generation retry-logic has valid invoices [0.08ms]
(fail) Deep: invoice-generation / retry-logic > invoice-generation retry-logic has valid products [0.10ms]
(fail) Deep: invoice-item-validation / id-format > invoice-item-validation id-format generates valid data [0.16ms]
(fail) Deep: invoice-item-validation / id-format > invoice-item-validation id-format has valid invoices [0.08ms]
(fail) Deep: invoice-item-validation / id-format > invoice-item-validation id-format has valid products [0.09ms]
(fail) Deep: invoice-item-validation / rate-limit > invoice-item-validation rate-limit generates valid data [0.18ms]
(fail) Deep: invoice-item-validation / rate-limit > invoice-item-validation rate-limit has valid invoices [0.08ms]
(fail) Deep: invoice-item-validation / rate-limit > invoice-item-validation rate-limit has valid products [0.11ms]
(fail) Deep: latency-distribution / statistical > latency-distribution statistical generates valid data [0.22ms]
(fail) Deep: latency-distribution / statistical > latency-distribution statistical has valid invoices [0.09ms]
(fail) Deep: latency-distribution / statistical > latency-distribution statistical has valid products [0.11ms]
(fail) Deep: learning-curve / fallback > learning-curve fallback generates valid data [0.16ms]
(fail) Deep: learning-curve / fallback > learning-curve fallback has valid invoices [0.07ms]
(fail) Deep: learning-curve / fallback > learning-curve fallback has valid products [0.10ms]
(fail) Deep: learning-curve / retry-logic > learning-curve retry-logic generates valid data [0.17ms]
(fail) Deep: learning-curve / retry-logic > learning-curve retry-logic has valid invoices [0.08ms]
(fail) Deep: learning-curve / retry-logic > learning-curve retry-logic has valid products [0.12ms]
(fail) Deep: matching-simulation / retry-logic > matching-simulation retry-logic generates valid data [0.19ms]
(fail) Deep: matching-simulation / retry-logic > matching-simulation retry-logic has valid invoices [0.07ms]
(fail) Deep: matching-simulation / retry-logic > matching-simulation retry-logic has valid products [0.10ms]
(fail) Deep: metrics-calculation / edge-max > metrics-calculation edge-max generates valid data [0.17ms]
(fail) Deep: metrics-calculation / edge-max > metrics-calculation edge-max has valid invoices [0.09ms]
(fail) Deep: metrics-calculation / edge-max > metrics-calculation edge-max has valid products [0.09ms]
(fail) Deep: metrics-calculation / type-safety > metrics-calculation type-safety generates valid data [0.17ms]
(fail) Deep: metrics-calculation / type-safety > metrics-calculation type-safety has valid invoices [0.07ms]
(fail) Deep: metrics-calculation / type-safety > metrics-calculation type-safety has valid products [0.09ms]
(fail) Deep: model-distribution / rate-limit > model-distribution rate-limit generates valid data [0.16ms]
(fail) Deep: model-distribution / rate-limit > model-distribution rate-limit has valid invoices [0.07ms]
(fail) Deep: model-distribution / rate-limit > model-distribution rate-limit has valid products [0.09ms]
(fail) Deep: optimization-ranking / rate-limit > optimization-ranking rate-limit generates valid data [0.18ms]
(fail) Deep: optimization-ranking / rate-limit > optimization-ranking rate-limit has valid invoices [0.07ms]
(fail) Deep: optimization-ranking / rate-limit > optimization-ranking rate-limit has valid products [0.09ms]
(fail) Deep: pattern-hit-analysis / basic > pattern-hit-analysis basic generates valid data [0.17ms]
(fail) Deep: pattern-hit-analysis / basic > pattern-hit-analysis basic has valid invoices [0.07ms]
(fail) Deep: pattern-hit-analysis / basic > pattern-hit-analysis basic has valid products [0.09ms]
(fail) Deep: pattern-hit-analysis / edge-min > pattern-hit-analysis edge-min generates valid data [0.16ms]
(fail) Deep: pattern-hit-analysis / edge-min > pattern-hit-analysis edge-min has valid invoices [0.07ms]
(fail) Deep: pattern-hit-analysis / edge-min > pattern-hit-analysis edge-min has valid products [0.12ms]
(fail) Deep: payment-tracking / performance > payment-tracking performance generates valid data [0.17ms]
(fail) Deep: payment-tracking / performance > payment-tracking performance has valid invoices [0.07ms]
(fail) Deep: payment-tracking / performance > payment-tracking performance has valid products [0.09ms]
(fail) Deep: payment-tracking / timeout > payment-tracking timeout generates valid data [0.16ms]
(fail) Deep: payment-tracking / timeout > payment-tracking timeout has valid invoices [0.08ms]
(fail) Deep: payment-tracking / timeout > payment-tracking timeout has valid products [0.09ms]
(fail) Deep: product-generation / type-safety > product-generation type-safety generates valid data [0.17ms]
(fail) Deep: product-generation / type-safety > product-generation type-safety has valid invoices [0.10ms]
(fail) Deep: product-generation / type-safety > product-generation type-safety has valid products [0.10ms]
(fail) Deep: provider-history-generation / id-format > provider-history-generation id-format generates valid data [0.18ms]
(fail) Deep: provider-history-generation / id-format > provider-history-generation id-format has valid invoices [0.07ms]
(fail) Deep: provider-history-generation / id-format > provider-history-generation id-format has valid products [0.09ms]
(fail) Deep: purchase-generation / boundary-value > purchase-generation boundary-value generates valid data [0.22ms]
(fail) Deep: purchase-generation / boundary-value > purchase-generation boundary-value has valid invoices [0.08ms]
(fail) Deep: purchase-generation / boundary-value > purchase-generation boundary-value has valid products [0.13ms]
(fail) Deep: purchase-generation / id-format > purchase-generation id-format generates valid data [0.18ms]
(fail) Deep: purchase-generation / id-format > purchase-generation id-format has valid invoices [0.08ms]
(fail) Deep: purchase-generation / id-format > purchase-generation id-format has valid products [0.10ms]
(fail) Deep: refund-handling / duplicate-check > refund-handling duplicate-check generates valid data [0.19ms]
(fail) Deep: refund-handling / duplicate-check > refund-handling duplicate-check has valid invoices [0.07ms]
(fail) Deep: refund-handling / duplicate-check > refund-handling duplicate-check has valid products [0.10ms]
(fail) Deep: report-generation / basic > report-generation basic generates valid data [0.18ms]
(fail) Deep: report-generation / basic > report-generation basic has valid invoices [0.08ms]
(fail) Deep: report-generation / basic > report-generation basic has valid products [0.10ms]
(fail) Deep: report-generation / performance > report-generation performance generates valid data [0.16ms]
(fail) Deep: report-generation / performance > report-generation performance has valid invoices [0.09ms]
(fail) Deep: report-generation / performance > report-generation performance has valid products [0.09ms]
(fail) Deep: retry-pattern-analysis / rate-limit > retry-pattern-analysis rate-limit generates valid data [0.19ms]
(fail) Deep: retry-pattern-analysis / rate-limit > retry-pattern-analysis rate-limit has valid invoices [0.08ms]
(fail) Deep: retry-pattern-analysis / rate-limit > retry-pattern-analysis rate-limit has valid products [0.09ms]
(fail) Deep: retry-pattern-analysis / scale-10 > retry-pattern-analysis scale-10 generates valid data [0.16ms]
(fail) Deep: retry-pattern-analysis / scale-10 > retry-pattern-analysis scale-10 has valid invoices [0.09ms]
(fail) Deep: retry-pattern-analysis / scale-10 > retry-pattern-analysis scale-10 has valid products [0.09ms]
(fail) Deep: rule-hit-analysis / id-format > rule-hit-analysis id-format generates valid data [0.18ms]
(fail) Deep: rule-hit-analysis / id-format > rule-hit-analysis id-format has valid invoices [0.08ms]
(fail) Deep: rule-hit-analysis / id-format > rule-hit-analysis id-format has valid products [0.10ms]
(fail) Deep: search-simulation / json-deserialize > search-simulation json-deserialize generates valid data [0.17ms]
(fail) Deep: search-simulation / json-deserialize > search-simulation json-deserialize has valid invoices [0.10ms]
(fail) Deep: search-simulation / json-deserialize > search-simulation json-deserialize has valid products [0.13ms]
(fail) Deep: search-simulation / type-safety > search-simulation type-safety generates valid data [0.18ms]
(fail) Deep: search-simulation / type-safety > search-simulation type-safety has valid invoices [0.07ms]
(fail) Deep: search-simulation / type-safety > search-simulation type-safety has valid products [0.10ms]
(fail) Deep: stock-movement / edge-max > stock-movement edge-max generates valid data [0.19ms]
(fail) Deep: stock-movement / edge-max > stock-movement edge-max has valid invoices [0.07ms]
(fail) Deep: stock-movement / edge-max > stock-movement edge-max has valid products [0.12ms]
(fail) Deep: stock-movement / statistical > stock-movement statistical generates valid data [0.20ms]
(fail) Deep: stock-movement / statistical > stock-movement statistical has valid invoices [0.07ms]
(fail) Deep: stock-movement / statistical > stock-movement statistical has valid products [0.10ms]
(fail) Deep: supplier-generation / scale-10 > supplier-generation scale-10 generates valid data [0.17ms]
(fail) Deep: supplier-generation / scale-10 > supplier-generation scale-10 has valid invoices [0.09ms]
(fail) Deep: supplier-generation / scale-10 > supplier-generation scale-10 has valid products [0.10ms]
(fail) Deep: tax-calculation / fallback > tax-calculation fallback generates valid data [0.16ms]
(fail) Deep: tax-calculation / fallback > tax-calculation fallback has valid invoices [0.07ms]
(fail) Deep: tax-calculation / fallback > tax-calculation fallback has valid products [0.09ms]
(fail) Deep: tenant-cost-ranking / memory-stable > tenant-cost-ranking memory-stable generates valid data [0.17ms]
(fail) Deep: tenant-cost-ranking / memory-stable > tenant-cost-ranking memory-stable has valid invoices [0.07ms]
(fail) Deep: tenant-cost-ranking / memory-stable > tenant-cost-ranking memory-stable has valid products [0.10ms]
(fail) Deep: user-generation / edge-empty > user-generation edge-empty generates valid data [0.19ms]
(fail) Deep: user-generation / edge-empty > user-generation edge-empty has valid invoices [0.08ms]
(fail) Deep: user-generation / edge-empty > user-generation edge-empty has valid products [0.10ms]
(fail) Deep: user-generation / edge-max > user-generation edge-max generates valid data [0.16ms]
(fail) Deep: user-generation / edge-max > user-generation edge-max has valid invoices [0.07ms]
(fail) Deep: user-generation / edge-max > user-generation edge-max has valid products [0.09ms]
(fail) Inline Styles Cleanup > should have only TAILWINDBREAK styles in partially-converted files [0.17ms]
(fail) Phase 10: Heat Map > should return 24x7 matrix with sufficient data [0.34ms]
(fail) Phase 10: Heat Map > should return a matrix with all zeros for empty hour slots [0.26ms]
(fail) Phase 10: Heat Map > should return a number when data is available [0.33ms]
(fail) Phase 10: Heat Map > should return at least 1 worker minimum [0.20ms]
(fail) Phase 10: Heat Map > should return true when data spans 7+ days [0.18ms]
(fail) Phase 11: Learning Engine > should NOT promote when sampleCount < 20 [0.20ms]
(fail) Phase 11: Learning Engine > should create a new candidate on first observation [0.25ms]
(fail) Phase 11: Learning Engine > should decrease confidence on different output [0.22ms]
(fail) Phase 11: Learning Engine > should increment sampleCount on repeated observation with same output [0.22ms]
(fail) Phase 11: Learning Engine > should keep candidate observing when 0.5 <= confidence < 0.95 with enough samples [0.25ms]
(fail) Phase 11: Learning Engine > should promote candidate when sampleCount >= 20 and confidence >= 0.95 [0.23ms]
(fail) Phase 11: Learning Engine > should reject candidate when confidence < 0.5 with enough samples [0.30ms]
(fail) Phase 11: Learning Engine > should return correct status counts [0.22ms]
(fail) Phase 12: Cross-Company Intelligence > should increment contributingCompaniesCount on repeated contribution [0.24ms]
(fail) Phase 12: Cross-Company Intelligence > should lookup case-insensitively (normalized) [0.13ms]
(fail) Phase 12: Cross-Company Intelligence > should return correct stats with patterns [0.15ms]
(fail) Phase 12: Cross-Company Intelligence > should return empty stats when no patterns exist [0.25ms]
(fail) Phase 12: Cross-Company Intelligence > should return pattern data for existing pattern [0.13ms]
(fail) Phase 12: Cross-Company Intelligence > should store a valid pattern with high confidence [0.47ms]
(fail) Phase 9: Worker Marketplace > should return correct pool status with multiple companies [0.74ms]
(fail) Seeder Edge Case 05 > all invoices have valid totals for edge case 05 [5.37ms]
(fail) Seeder Edge Case 05 > generates companies with valid IDs for edge case 05 [5.36ms]
(fail) Seeder Edge Case 05 > products have valid pricing for edge case 05 [5.23ms]
(fail) Seeder Edge Case 07 > all invoices have valid totals for edge case 07 [5.84ms]
(fail) Seeder Edge Case 07 > generates companies with valid IDs for edge case 07 [6.08ms]
(fail) Seeder Edge Case 07 > products have valid pricing for edge case 07 [5.89ms]
(fail) Seeder Edge Case 08 > all invoices have valid totals for edge case 08 [5.32ms]
(fail) Seeder Edge Case 08 > generates companies with valid IDs for edge case 08 [5.44ms]
(fail) Seeder Edge Case 08 > products have valid pricing for edge case 08 [5.53ms]
(fail) Seeder Edge Case 09 > all invoices have valid totals for edge case 09 [5.42ms]
(fail) Seeder Edge Case 09 > generates companies with valid IDs for edge case 09 [5.60ms]
(fail) Seeder Edge Case 09 > products have valid pricing for edge case 09 [5.43ms]
